registeredOrder,sequenceOrder,inSequence,route,component,sourceBytes,filesScanned,sharedPrimary,interactionIdea,visual,interactionShape,signals,boringReasons,images,buttons,clicks,randomCalls,stateCalls,rotates
"12","9","true","/stars","StarsPage","2716","1","page-specific JSX","photo-or-memory","grid|flex-layout|rounded-cards|solid|single-media","single-interaction|local-state|deterministic|tap-or-click","photo-or-memory","","2","1","1","0","1","0"
"13","10","true","/time-capsule","TimeCapsulePage","6633","2","OpenWhenLetters","letter-or-note","grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|deterministic|tap-or-click","letter-or-note","","0","2","5","0","1","0"
"14","","false","/scratch-surprises","ScratchSurprisePage","6130","2","ScratchCard","scratch-reveal","grid|flex-layout|rounded-cards|gradient|text-led","no-click|local-state|deterministic|motion-or-gesture","scratch-reveal|draw-or-decorate|romantic-reveal","scratch/foil mechanic|single-action low-media page","0","0","0","0","2","0"
"15","11","true","/compliment-jar","ComplimentJarPage","2737","1","page-specific JSX","letter-or-note","grid|flex-layout|rounded-cards|solid|single-media","single-interaction|local-state|deterministic|tap-or-click","letter-or-note|photo-or-memory|romantic-reveal","","1","2","2","0","1","0"
"16","","false","/catcher-game","CatcherGamePage","10224","3","HeartCatcherGame","arcade-or-catch","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|random-output|motion-or-gesture","arcade-or-catch|random-or-generator","random/generator output|arcade/catch mechanic","0","3","3","2","4","1"
"17","","false","/memory-match","MemoryMatchPage","10141","3","MemoryMatchGame","flip-or-match","grid|flex-layout|rounded-cards|gradient|text-led","single-interaction|local-state|random-output|motion-or-gesture","flip-or-match|random-or-generator|photo-or-memory|romantic-reveal","flip/match mechanic|random/generator output","0","1","2","1","4","1"
"18","12","true","/quote-generator","QuoteGeneratorPage","3240","2","TypewriterQuotes","random-or-generator","no-grid|flex-layout|flat-cards|gradient|text-led","single-interaction|local-state|deterministic|tap-or-click","random-or-generator","random/generator output|single-action low-media page","0","1","1","0","1","0"
"19","13","true","/mystery-gifts","MysteryGiftsPage","6577","2","MysteryGiftBoxes","romantic-reveal","grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|deterministic|motion-or-gesture","romantic-reveal","","0","2","5","0","2","1"
"20","","false","/bouquet-reasons","BouquetReasonsPage","2465","1","page-specific JSX","photo-or-memory","grid|simple-layout|rounded-cards|solid|single-media","single-interaction|local-state|deterministic|tap-or-click","photo-or-memory|romantic-reveal","","1","1","1","0","1","0"
"21","14","true","/passport","PassportPage","1964","1","page-specific JSX","journey-or-timeline","grid|simple-layout|rounded-cards|solid|single-media","single-interaction|local-state|deterministic|tap-or-click","journey-or-timeline|photo-or-memory","","1","1","1","0","1","0"
"22","15","true","/message-bottle","BottlePage","10802","3","MessageInBottle","letter-or-note","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|deterministic|motion-or-gesture","letter-or-note|romantic-reveal","","0","2","5","0","1","2"
"23","16","true","/music-box","MusicBoxPage","12945","3","LoveMusicBox","audio-or-music","grid|flex-layout|rounded-cards|gradient|text-led","single-interaction|local-state|deterministic|motion-or-gesture","audio-or-music","","0","2","2","0","2","6"
"24","17","true","/lanterns","LanternsPage","1557","1","page-specific JSX","romantic-reveal","grid|simple-layout|flat-cards|gradient|text-led","single-interaction|local-state|deterministic|tap-or-click","","single-action low-media page","0","1","1","0","1","0"
"25","18","true","/photo-booth","PhotoBoothPage","11689","3","PolaroidPhotoBooth","random-or-generator","no-grid|flex-layout|rounded-cards|gradient|single-media","several-buttons|local-state|random-output|motion-or-gesture","random-or-generator|photo-or-memory","random/generator output","1","4","4","2","2","2"
"26","19","true","/promise-tree","PromiseTreePage","10486","3","SakuraPromiseTree","romantic-reveal","grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|deterministic|motion-or-gesture","romantic-reveal","","0","2","5","0","1","1"
"27","20","true","/treasure-chest","TreasureChestPage","1612","1","page-specific JSX","photo-or-memory","grid|simple-layout|flat-cards|solid|single-media","single-interaction|local-state|deterministic|tap-or-click","photo-or-memory","","1","1","1","0","1","0"
"28","","false","/love-slots","LoveSlotsPage","9365","3","LoveSlots","random-or-generator","no-grid|flex-layout|rounded-cards|gradient|text-led","single-interaction|local-state|random-output|motion-or-gesture","random-or-generator|romantic-reveal","random/generator output|single-action low-media page","0","1","1","3","3","1"
"29","21","true","/horoscope","HoroscopePage","1472","1","page-specific JSX","romantic-reveal","grid|simple-layout|flat-cards|solid|text-led","single-interaction|local-state|deterministic|tap-or-click","","single-action low-media page","0","1","1","0","1","0"
"30","22","true","/love-calculator","LoveCalculatorPage","7698","2","LoveCalculator","romantic-reveal","grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|deterministic|tap-or-click","romantic-reveal","","0","2","4","0","4","0"
"31","23","true","/cooking-game","CookingGamePage","1893","1","page-specific JSX","romantic-reveal","grid|simple-layout|flat-cards|solid|text-led","single-interaction|local-state|deterministic|tap-or-click","","single-action low-media page","0","1","1","0","1","0"
"32","24","true","/love-pet","LovePetPage","8750","3","VirtualLovePet","romantic-reveal","no-grid|flex-layout|rounded-cards|solid|text-led","several-buttons|local-state|deterministic|motion-or-gesture","romantic-reveal","","0","2","3","0","2","1"
"33","","false","/future-night-ride","FutureNightRidePage","2565","1","page-specific JSX","photo-or-memory","grid|flex-layout|rounded-cards|gradient|single-media","single-interaction|local-state|deterministic|tap-or-click","photo-or-memory","","1","1","1","0","1","0"
"34","","false","/two-truths","TwoTruthsPage","16894","3","TwoTruthsGame","romantic-reveal","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|deterministic|motion-or-gesture","romantic-reveal","","0","2","3","0","4","1"
"35","","false","/word-search","WordSearchPage","17738","3","LoveWordSearch","puzzle","grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|random-output|motion-or-gesture","puzzle|random-or-generator","random/generator output","0","4","4","4","5","1"
"36","25","true","/wishing-well","WishingWellPage","17055","3","WishingWell","builder-or-studio","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|deterministic|motion-or-gesture","builder-or-studio|romantic-reveal","","0","3","4","0","6","2"
"37","26","true","/voice-soundboard","VoiceSoundboardPage","1598","1","page-specific JSX","audio-or-music","grid|simple-layout|flat-cards|solid|text-led","single-interaction|local-state|deterministic|tap-or-click","audio-or-music|letter-or-note","single-action low-media page","0","1","1","0","1","0"
"38","","false","/tic-tac-toe","TicTacToePage","15977","3","LoveTicTacToe","arcade-or-catch","grid|flex-layout|rounded-cards|gradient|photo-led","several-buttons|local-state|random-output|motion-or-gesture","arcade-or-catch|random-or-generator|photo-or-memory","random/generator output|arcade/catch mechanic","4","3","4","1","4","3"
"39","27","true","/fireworks","FireworksPage","1526","1","page-specific JSX","letter-or-note","grid|simple-layout|flat-cards|solid|text-led","single-interaction|local-state|deterministic|tap-or-click","letter-or-note|romantic-reveal","single-action low-media page","0","1","1","0","1","0"
"40","","false","/timeline-quiz","TimelinePuzzlePage","1727","1","page-specific JSX","quiz-or-question","no-grid|flex-layout|flat-cards|solid|text-led","single-interaction|local-state|deterministic|tap-or-click","quiz-or-question|puzzle|journey-or-timeline","single-action low-media page","0","1","1","0","1","0"
"41","","false","/bubble-pop","BubblePopPage","14223","3","BubblePopGame","arcade-or-catch","grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|deterministic|motion-or-gesture","arcade-or-catch|letter-or-note|romantic-reveal","arcade/catch mechanic","0","2","3","0","2","1"
"42","28","true","/bucket-list","BucketListPage","20676","3","TravelBucketList","romantic-reveal","grid|flex-layout|rounded-cards|gradient|text-led","many-buttons|local-state|deterministic|motion-or-gesture","","","0","7","8","0","6","3"
"43","29","true","/origami","OrigamiPage","14064","3","OrigamiHeart","romantic-reveal","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|deterministic|motion-or-gesture","","","0","2","3","0","2","14"
"44","30","true","/affirmations","AffirmationsPage","15168","3","LoveAffirmations","flip-or-match","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|deterministic|motion-or-gesture","flip-or-match","flip/match mechanic","0","2","3","0","3","5"
"45","31","true","/love-piano","LovePianoPage","8482","2","LovePiano","audio-or-music","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|random-output|motion-or-gesture","audio-or-music|random-or-generator|letter-or-note|romantic-reveal","random/generator output","0","2","3","2","5","2"
"46","32","true","/wax-sealer","WaxSealerPage","15824","3","WaxSealer","builder-or-studio","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|deterministic|motion-or-gesture","builder-or-studio","","0","3","4","0","7","2"
"47","33","true","/love-maze","LoveMazePage","2188","1","page-specific JSX","puzzle","grid|simple-layout|rounded-cards|solid|text-led","single-interaction|local-state|deterministic|tap-or-click","puzzle|romantic-reveal","","0","2","2","0","1","0"
"48","34","true","/fortune-cookie","FortuneCookiePage","6065","2","FortuneCookie","random-or-generator","no-grid|flex-layout|rounded-cards|gradient|text-led","single-interaction|local-state|random-output|motion-or-gesture","random-or-generator","random/generator output","0","1","2","1","3","3"
"49","35","true","/love-potion","LovePotionPage","9178","2","LovePotion","random-or-generator","grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|random-output|motion-or-gesture","random-or-generator|romantic-reveal","random/generator output","0","3","3","1","3","3"
"50","36","true","/emoji-story","EmojiStoryPage","9921","3","EmojiStory","romantic-reveal","no-grid|flex-layout|rounded-cards|solid|text-led","single-interaction|local-state|deterministic|motion-or-gesture","","","0","2","2","0","3","1"
"51","","false","/jigsaw","JigsawPage","15180","3","JigsawPuzzle","puzzle","grid|flex-layout|rounded-cards|gradient|single-media","several-buttons|local-state|random-output|motion-or-gesture","puzzle|random-or-generator|photo-or-memory|romantic-reveal","random/generator output","1","4","5","3","5","1"
"52","37","true","/love-dice","LoveDicePage","10437","2","LoveDice","random-or-generator","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|random-output|motion-or-gesture","random-or-generator|romantic-reveal","random/generator output","0","2","3","4","6","4"
"53","38","true","/balloon-pop","BalloonPopPage","9828","3","BalloonPop","arcade-or-catch","no-grid|flex-layout|rounded-cards|solid|text-led","single-interaction|local-state|deterministic|motion-or-gesture","arcade-or-catch","arcade/catch mechanic","0","0","2","0","2","2"
"54","39","true","/couple-bingo","CoupleBingoPage","1637","1","page-specific JSX","romantic-reveal","grid|simple-layout|flat-cards|solid|text-led","single-interaction|local-state|deterministic|tap-or-click","","single-action low-media page","0","1","1","0","1","0"
"55","40","true","/love-review","LoveReviewPage","11711","3","LoveReview","romantic-reveal","no-grid|flex-layout|rounded-cards|gradient|text-led","single-interaction|local-state|deterministic|motion-or-gesture","romantic-reveal","","0","2","2","0","2","1"
"56","41","true","/love-diary","LoveDiaryPage","10261","3","LoveDiary","romantic-reveal","no-grid|flex-layout|rounded-cards|gradient|text-led","single-interaction|local-state|deterministic|motion-or-gesture","romantic-reveal","","0","2","2","0","1","4"
"57","42","true","/love-scrabble","LoveScrabblePage","17492","3","LoveScrabble","puzzle","grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|random-output|motion-or-gesture","puzzle|random-or-generator|letter-or-note|romantic-reveal","random/generator output","0","5","5","3","7","2"
"58","43","true","/love-lottery","LoveLotteryPage","1576","1","page-specific JSX","romantic-reveal","grid|simple-layout|flat-cards|solid|text-led","single-interaction|local-state|deterministic|tap-or-click","romantic-reveal","single-action low-media page","0","1","1","0","1","0"
"59","44","true","/love-tamagotchi","LoveTamagotchiPage","10074","3","LoveTamagotchi","romantic-reveal","no-grid|flex-layout|rounded-cards|solid|text-led","several-buttons|local-state|deterministic|motion-or-gesture","romantic-reveal","","0","3","3","0","3","1"
"60","45","true","/secret-vault","SecretVaultPage","1464","1","page-specific JSX","romantic-reveal","grid|simple-layout|flat-cards|solid|text-led","single-interaction|local-state|deterministic|tap-or-click","","single-action low-media page","0","1","1","0","1","0"
"61","46","true","/love-tarot","LoveTarotPage","9012","3","LoveTarot","flip-or-match","grid|flex-layout|rounded-cards|gradient|text-led","single-interaction|local-state|deterministic|motion-or-gesture","flip-or-match|random-or-generator|romantic-reveal","flip/match mechanic|random/generator output|single-action low-media page","0","0","1","0","1","1"
"62","47","true","/memory-lane","MemoryLanePage","3021","1","page-specific JSX","photo-or-memory","grid|flex-layout|rounded-cards|solid|single-media","single-interaction|local-state|deterministic|tap-or-click","photo-or-memory","","1","2","2","0","1","0"
"63","48","true","/hug-counter","HugCounterPage","14584","3","HugCounter","random-or-generator","no-grid|flex-layout|rounded-cards|gradient|text-led","single-interaction|local-state|random-output|motion-or-gesture","random-or-generator|journey-or-timeline|romantic-reveal","random/generator output","0","1","2","3","7","2"
"64","49","true","/love-crossword","LoveCrosswordPage","1487","1","page-specific JSX","puzzle","grid|simple-layout|flat-cards|solid|text-led","single-interaction|local-state|deterministic|tap-or-click","puzzle|romantic-reveal","single-action low-media page","0","1","1","0","1","0"
"65","50","true","/love-radio","LoveRadioPage","1773","1","page-specific JSX","romantic-reveal","grid|simple-layout|flat-cards|solid|text-led","single-interaction|local-state|deterministic|tap-or-click","romantic-reveal","single-action low-media page","0","1","1","0","1","0"
"66","51","true","/blessing-tree","BlessingTreePage","1699","1","page-specific JSX","romantic-reveal","grid|simple-layout|flat-cards|solid|text-led","single-interaction|local-state|deterministic|tap-or-click","","single-action low-media page","0","1","1","0","1","0"
"67","52","true","/love-vibe","LoveVibePage","16627","3","LoveVibe","random-or-generator","grid|flex-layout|rounded-cards|gradient|single-media","several-buttons|local-state|random-output|motion-or-gesture","random-or-generator|photo-or-memory|romantic-reveal","random/generator output","1","3","5","2","9","3"
"68","","false","/couple-quiz-2","CoupleQuiz2Page","2527","1","page-specific JSX","quiz-or-question","grid|flex-layout|rounded-cards|solid|single-media","single-interaction|local-state|deterministic|tap-or-click","quiz-or-question|photo-or-memory","","1","1","1","0","1","0"
"69","","false","/promise-trio","PromiseTrioPage","2758","1","page-specific JSX","photo-or-memory","grid|flex-layout|rounded-cards|solid|single-media","single-interaction|local-state|deterministic|tap-or-click","photo-or-memory|romantic-reveal","","1","1","1","0","1","0"
"70","53","true","/bento-box","BentoBoxPage","1589","1","page-specific JSX","romantic-reveal","grid|simple-layout|flat-cards|solid|text-led","single-interaction|local-state|deterministic|tap-or-click","","single-action low-media page","0","1","1","0","1","0"
"71","","false","/letter-tonight","LetterTonightPage","2412","1","page-specific JSX","letter-or-note","grid|flex-layout|flat-cards|solid|single-media","single-interaction|local-state|deterministic|motion-or-gesture","letter-or-note|photo-or-memory","","2","1","1","0","1","2"
"72","54","true","/love-coupon-generator","LoveCouponGeneratorPage","24039","3","LoveCouponGenerator","random-or-generator","grid|flex-layout|rounded-cards|gradient|text-led","many-buttons|local-state|random-output|motion-or-gesture","random-or-generator|romantic-reveal","random/generator output","0","8","8","1","7","1"
"73","55","true","/star-namer","StarNamerPage","22850","3","StarNamer","random-or-generator","no-grid|flex-layout|rounded-cards|gradient|single-media","several-buttons|local-state|random-output|motion-or-gesture","random-or-generator|photo-or-memory","random/generator output","2","3","4","6","7","3"
"74","56","true","/love-jar-notes","LoveJarNotesPage","2481","1","page-specific JSX","letter-or-note","grid|flex-layout|rounded-cards|solid|single-media","single-interaction|local-state|deterministic|tap-or-click","letter-or-note|photo-or-memory|romantic-reveal","","1","1","1","0","1","0"
"75","57","true","/sweet-compliments","SweetComplimentsPage","3659","2","SweetCompliments","romantic-reveal","no-grid|simple-layout|flat-cards|gradient|text-led","single-interaction|local-state|deterministic|motion-or-gesture","romantic-reveal","","0","2","2","0","2","1"
"76","58","true","/kiss-collector","KissCollectorPage","12850","3","KissCollector","draw-or-decorate","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|random-output|motion-or-gesture","draw-or-decorate|random-or-generator|builder-or-studio|romantic-reveal","random/generator output","0","3","4","3","4","5"
"77","59","true","/love-memory-flip","LoveMemoryFlipPage","20258","3","LoveMemoryFlip","flip-or-match","grid|flex-layout|rounded-cards|gradient|single-media","several-buttons|local-state|random-output|motion-or-gesture","flip-or-match|random-or-generator|photo-or-memory|romantic-reveal","flip/match mechanic|random/generator output","1","3","4","1","10","4"
"78","60","true","/sound-wave","SoundWavePage","18480","3","SoundWave","audio-or-music","grid|flex-layout|rounded-cards|gradient|single-media","several-buttons|local-state|deterministic|motion-or-gesture","audio-or-music|letter-or-note|photo-or-memory","","1","4","4","0","4","1"
"79","61","true","/love-passport-stamps","LovePassportStampsPage","3932","2","LovePassportStamps","journey-or-timeline","no-grid|simple-layout|flat-cards|gradient|text-led","single-interaction|local-state|deterministic|tap-or-click","journey-or-timeline|romantic-reveal","","0","2","2","0","2","0"
"80","62","true","/mood-ring","MoodRingPage","1389","1","page-specific JSX","romantic-reveal","grid|simple-layout|flat-cards|solid|text-led","single-interaction|local-state|deterministic|tap-or-click","","single-action low-media page","0","1","1","0","1","0"
"81","243","true","/love-tetris","LoveTetrisPage","2031","1","page-specific JSX","puzzle","grid|simple-layout|rounded-cards|solid|text-led","single-interaction|local-state|deterministic|motion-or-gesture","puzzle|romantic-reveal","","0","2","2","0","1","1"
"82","63","true","/cupid-archery","CupidArcheryPage","15181","3","CupidArchery","random-or-generator","no-grid|flex-layout|rounded-cards|gradient|text-led","single-interaction|local-state|random-output|motion-or-gesture","random-or-generator","random/generator output","0","1","2","9","7","1"
"83","64","true","/love-alarm","LoveAlarmPage","15278","3","LoveAlarm","romantic-reveal","no-grid|flex-layout|rounded-cards|gradient|text-led","many-buttons|local-state|deterministic|motion-or-gesture","romantic-reveal","","0","8","9","0","8","5"
"84","65","true","/couple-bucket-list-2","CoupleBucketList2Page","2680","1","page-specific JSX","photo-or-memory","grid|flex-layout|rounded-cards|solid|single-media","single-interaction|local-state|deterministic|tap-or-click","photo-or-memory","","1","1","1","0","1","0"
"85","","false","/love-quiz-advanced","LoveQuizAdvancedPage","2511","1","page-specific JSX","quiz-or-question","grid|simple-layout|rounded-cards|solid|single-media","single-interaction|local-state|deterministic|tap-or-click","quiz-or-question|photo-or-memory|romantic-reveal","","1","1","1","0","1","0"
"86","66","true","/love-meter-deluxe","LoveMeterDeluxePage","1884","1","page-specific JSX","romantic-reveal","no-grid|simple-layout|flat-cards|solid|text-led","single-interaction|local-state|deterministic|tap-or-click","romantic-reveal","single-action low-media page","0","1","1","0","1","0"
"87","67","true","/love-envelope","LoveEnvelopePage","21275","3","LoveEnvelope","letter-or-note","grid|flex-layout|rounded-cards|gradient|single-media","many-buttons|local-state|deterministic|motion-or-gesture","letter-or-note|photo-or-memory|romantic-reveal","","1","8","9","0","8","1"
"88","68","true","/love-constellation-connect","LoveConstellationConnectPage","18287","3","LoveConstellationConnect","photo-or-memory","no-grid|flex-layout|rounded-cards|gradient|single-media","several-buttons|local-state|deterministic|motion-or-gesture","photo-or-memory|romantic-reveal","","1","5","5","0","4","1"
"89","69","true","/love-journal-prompt","LoveJournalPromptPage","14908","3","LoveJournalPrompt","romantic-reveal","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|deterministic|motion-or-gesture","romantic-reveal","","0","4","4","0","5","4"
"90","70","true","/love-chimes","LoveChimesPage","12902","3","LoveChimes","audio-or-music","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|deterministic|motion-or-gesture","audio-or-music|letter-or-note|romantic-reveal","","0","4","5","0","5","4"
"91","","false","/love-puzzle-slider","LovePuzzleSliderPage","12197","3","LovePuzzleSlider","puzzle","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|random-output|motion-or-gesture","puzzle|random-or-generator|romantic-reveal","random/generator output","0","2","3","1","4","3"
"92","71","true","/love-horoscope-daily","LoveHoroscopeDailyPage","5041","2","LoveHoroscopeDaily","romantic-reveal","no-grid|flex-layout|flat-cards|gradient|text-led","several-buttons|local-state|deterministic|tap-or-click","romantic-reveal","","0","3","3","0","2","0"
"93","72","true","/love-recipe","LoveRecipePage","4342","2","LoveRecipe","romantic-reveal","no-grid|flex-layout|flat-cards|gradient|text-led","several-buttons|local-state|deterministic|tap-or-click","romantic-reveal","","0","3","3","0","2","0"
"94","73","true","/love-fireflies","LoveFirefliesPage","14994","3","LoveFireflies","random-or-generator","no-grid|flex-layout|rounded-cards|gradient|text-led","single-interaction|local-state|random-output|motion-or-gesture","random-or-generator|romantic-reveal","random/generator output","0","1","2","23","5","1"
"95","74","true","/love-tree-growth","LoveTreeGrowthPage","1949","1","page-specific JSX","romantic-reveal","grid|simple-layout|rounded-cards|solid|text-led","single-interaction|local-state|deterministic|tap-or-click","romantic-reveal","","0","2","2","0","1","0"
"96","75","true","/love-wishes-sky","LoveWishesSkyPage","14600","3","LoveWishesSky","random-or-generator","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|random-output|motion-or-gesture","random-or-generator|romantic-reveal","random/generator output","0","3","3","5","2","1"
"97","76","true","/love-time-machine","LoveTimeMachinePage","13047","3","LoveTimeMachine","journey-or-timeline","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|deterministic|motion-or-gesture","journey-or-timeline|romantic-reveal","","0","3","4","0","3","1"
"98","","false","/love-memory-match","LoveMemoryMatchPage","18107","3","LoveMemoryMatch","flip-or-match","grid|flex-layout|rounded-cards|gradient|single-media","several-buttons|local-state|random-output|motion-or-gesture","flip-or-match|random-or-generator|photo-or-memory|romantic-reveal","flip/match mechanic|random/generator output","1","4","5","1","7","4"
"99","77","true","/love-origami-heart","LoveOrigamiHeartPage","18776","3","LoveOrigamiHeart","romantic-reveal","no-grid|flex-layout|rounded-cards|gradient|text-led","many-buttons|local-state|deterministic|motion-or-gesture","romantic-reveal","","0","7","8","0","6","4"
"100","78","true","/love-fortune-cookie","LoveFortuneCookiePage","14222","3","LoveFortuneCookie","random-or-generator","no-grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|random-output|motion-or-gesture","random-or-generator|romantic-reveal","random/generator output","0","3","4","1","5","6"
"101","79","true","/love-scratch-card","LoveScratchCardPage","1651","1","page-specific JSX","scratch-reveal","grid|simple-layout|flat-cards|solid|single-media","single-interaction|local-state|deterministic|tap-or-click","scratch-reveal|photo-or-memory|romantic-reveal","scratch/foil mechanic","1","1","1","0","1","0"
"102","80","true","/love-audio-visualizer","LoveAudioVisualizerPage","15063","3","LoveAudioVisualizer","audio-or-music","grid|flex-layout|rounded-cards|gradient|text-led","several-buttons|local-state|random-output|motion-or-gesture","audio-or-music|random-or-generator|romantic-reveal","random/generator output","0","2","3","1","6","1"
"103","","false","/love-trivia-quiz","LoveTriviaQuizPage","11130","3","LoveTriviaQuiz","quiz-or-question","no-grid|flex-layout|rounded-cards|gradient|text-led","single-interaction|local-state|deterministic|motion-or-gesture","quiz-or-question|romantic-reveal","","0","2","2","0","4","1"
"104","81","true","/love-photo-booth","LovePhotoBoothPage","17592","3","LovePhotoBooth","draw-or-decorate","no-grid|flex-layout|rounded-cards|gradient|single-media","several-buttons|local-state|random-output|motion-or-gesture","draw-or-decorate|random-or-generator|photo-or-memory|romantic-reveal","random/generator output","2","7","7","4","8","1"
"105","82","true","/love-wish-well","LoveWishWellPage","1444","1","page-specific JSX","romantic-reveal","grid|simple-layout|flat-cards|gradient|text-led","single-interaction|local-state|deterministic|tap-or-click","romantic-reveal","single-action low-media page","0","1","1","0","1","0"
"106","83","true","/love-grand-finale","LoveGrandFinalePage","20978","3","LoveGrandFinale","random-or-generator","grid|flex-layout|rounded-cards|gradient|single-media","several-buttons|local-state|random-output|motion-or-gesture","random-or-generator|photo-or-memory|romantic-reveal","random/generator output","1","5","6","4","5","2"
"107","","false","/love-map-canvas","LoveMapCanvasPage","29709","3","LoveMapCanvas","draw-or-decorate","no-grid|flex-layout|rounded-cards|gradient|single-media","many-buttons|local-state|random-output|motion-or-gesture","draw-or-decorate|random-or-generator|journey-or-timeline|photo-or-memory|romantic-reveal","random/generator output","2","8","9","3","10","4"
"108","172","true","/heartbeat-drum-pad","HeartbeatDrumPadPage","1479","1","page-specific JSX","audio-or-music","grid|simple-layout|flat-cards|solid|text-led","single-interaction|local-state|deterministic|tap-or-click","audio-or-music|romantic-reveal","single-action low-media page","0","1","1","0","1","0"
"109","84","true","/paper-airplane-messenger","PaperAirplaneMessengerPage","23322","3","PaperAirplaneMessenger","random-or-generator","grid|flex-layout|rounded-cards|gradient|photo-led","several-buttons|local-state|random-output|motion-or-gesture","random-or-generator|letter-or-note|photo-or-memory|romantic-reveal","random/generator output","4","6","6","1","7","3"
"110","124","true","/emoji-art-canvas","EmojiArtCanvasPage","1903","1","page-specific JSX","draw-or-decorate","grid|flex-layout|rounded-cards|gradient|text-led","single-interaction|local-state|deterministic|tap-or-click","draw-or-decorate","","0","2","2","0","1","0"
"111","85","true","/magic-8-ball-love","Magic8BallLovePage","17444","3","Magic8BallLove","random-or-generator","no-grid|flex-layout|rounded-cards|gradient|single-media","several-buttons|local-state|random-output|motion-or-gesture","random-or-generator|photo-or-memory|romantic-reveal","random/generator output","1","3","4","3","4","4"
